path,field,class,reason
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Plot or parcel number,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,UNLOCODE,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Latitude,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Longitude,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation > Address,Type of coordinates,A,address
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Goods measure (produced),Net mass,S,operator production data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Goods measure (produced),Supplementary units,S,operator production data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Goods measure (produced),Type of measurement unit,S,operator production data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation emissions,Installation total emissions,S,operator MRV data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation emissions,Installation direct emissions,S,operator MRV data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation emissions,Installation indirect emissions,S,operator MRV data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Installation emissions,Type of measurement unit for emissions,S,operator MRV data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Direct embedded emissions,Type of determination,S,operator MRV data
Area of import > Goods measure (per procedure) > CBAM goods’ emissions > Direct embedded emissions,Type of determination (electricity),S,operator MRV data
Type of applicable reporting methodology,Applicable reporting methodology,A,declaration choice
Type of applicable reporting methodology,Specific (direct) embedded emissions,A,declaration choice
Type of applicable reporting methodology,Other source indication,A,declaration choice
Type of applicable reporting methodology,Source of emission factor (for electricity),A,declaration choice
Type of applicable reporting methodology,Emission factor,A,declaration choice
Type of applicable reporting methodology,Electricity imported,A,declaration choice
Type of applicable reporting methodology,Total embedded emissions of electricity imported,A,declaration choice
Type of applicable reporting methodology,Type of measurement unit,A,declaration choice
Type of applicable reporting methodology,Source of emissions factor value,A,declaration choice
Type of applicable reporting methodology,Justification,A,declaration choice
Type of applicable reporting methodology,Fulfilment of conditionality,A,declaration choice
Type of applicable reporting methodology > Indirect embedded emissions,Type of determination,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Source of emission factor,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Emission factor,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Specific (indirect) embedded emissions,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Type of measurement unit,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Electricity consumed,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Source of electricity,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions,Source of emissions factor value,S3,operator electricity consumption + source of emission factor
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters,Sequence number,S3,"operator process data (route, precursors)"
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters,Method ID,S3,"operator process data (route, precursors)"
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters,Method name,S3,"operator process data (route, precursors)"
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters,Identification number of the specific steel mill,S3,"operator process data (route, precursors)"
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters,Additional Information,S3,"operator process data (route, precursors)"
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Sequence number,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Parameter ID,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Parameter name,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Description,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Type of parameter value,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Parameter value,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters,Additional information,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Sequence number,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Parameter ID,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Parameter name,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Description,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Type of parameter value,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Parameter value,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Direct emissions qualifying parameters > Indirect emissions qualifying parameters,Additional information,S3,operator process data
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Sequence number,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Type of emissions document,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Country of document issuance,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Reference number,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Document line item number,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Issuing authority name,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Validity start date,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Validity end date,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition),Description,S,operator verification documents
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition) > Attachments,Filename,A,attachments
