month,total,oil,gas,solar,wind,ef_mid,ef_lo,ef_hi,res_share
2022-07,561.159,468.013,0,68.618,21.344,0.6672091154200502,0.583807975992544,0.7506102548475566,0.16031463453317152
2022-08,536.273,452.613,0,66.418,14.066,0.6751978936101576,0.5907981569088878,0.7595976303114271,0.15008027627719464
2022-09,463.396,379.503,0,65.048,15.935,0.6551683657174425,0.5732723200027621,0.7370644114321229,0.17475981665789087
2022-10,380.709,308.621,0,51.561,17.422,0.6485184222069874,0.567453619431114,0.7295832249828609,0.1811961366818226
2022-11,329.672,271.351,0,41.477,13.438,0.6584750903928753,0.5761657040937659,0.7407844766919848,0.16657465602174282
2022-12,351.576,300.397,0,37.835,9.545,0.6835438141397592,0.5981008373722893,0.7689867909072291,0.1347646028170296
2023-01,408.675,345.496,0,41.524,18.236,0.6763242185110417,0.5917836911971615,0.7608647458249219,0.1462286658102404
2023-02,403.169,336.081,0,44.592,19.44,0.6668786538647565,0.583518822131662,0.7502384855978511,0.15882173480599945
2023-03,349.238,267.728,0,54.869,23.115,0.6132849231755996,0.5366243077786494,0.6899455385725495,0.2232975793012215
2023-04,323.426,243.522,0,57.455,19.024,0.6023560257987917,0.5270615225739427,0.6776505290236406,0.2364652192464428
2023-05,358.396,258.473,0,77.606,18.94,0.5769550999453119,0.5048357124521479,0.649074487438476,0.26938358687038916
2023-06,423.496,315.424,0,87.511,17.435,0.595847894667246,0.5213669078338402,0.6703288815006517,0.24780871602093055
2023-07,617.59,495.991,0,100.672,18.035,0.6424857915445522,0.5621750676014832,0.7227965154876212,0.19221004226104696
2023-08,607.204,496.004,0,95.085,13.525,0.6534924012358286,0.57180585108135,0.7351789513903072,0.17886904565846076
2023-09,491.359,383.564,0,89.191,15.772,0.624494921228674,0.5464330560750897,0.7025567863822583,0.2136177418140301
2023-10,403.583,313.656,0,74.442,12.522,0.6217427394117195,0.5440248969852546,0.6994605818381845,0.21547983933911982
2023-11,367.448,285.433,0,61.995,17.06,0.6214386797587687,0.5437588447889224,0.6991185147286147,0.2151460886982648
2023-12,379.353,308.958,0,51.535,15.372,0.651547239642233,0.5701038346869538,0.7329906445975121,0.17637134805840468
2024-01,411.875,337.6,0,49.404,21.32,0.655732928679818,0.5737663125948407,0.7376995447647953,0.17171229135053112
2024-02,390.669,320.138,0,54.063,13.216,0.6555687807325382,0.573622683140971,0.7375148783241056,0.17221484172022863
2024-03,361.154,265.133,0,70.045,22.337,0.5873018158458718,0.5138890888651377,0.6607145428266058,0.25579669614624234
2024-04,342.756,246.309,0,77.024,16.119,0.5748905927248539,0.5030292686342471,0.6467519168154606,0.271747248771721
2024-05,379.74,263.847,0,93.65,18.856,0.5558476852583346,0.48636672460104274,0.6253286459156264,0.29627113288039186
2024-06,573.864,433.162,0,124.538,13.285,0.6038531777564022,0.5283715305368518,0.6793348249759524,0.24016665969637405
2024-07,663.579,512.166,0,129.465,19.229,0.6174589611786993,0.5402765910313618,0.6946413313260367,0.22407882105973823
2024-08,629.206,482.094,0,127.681,16.499,0.6129553755050016,0.5363359535668764,0.6895747974431267,0.22914593948563747
2024-09,506.14,365.115,0,120.513,17.732,0.5770972458213144,0.50496009009365,0.6492344015489786,0.2731358912553839
2024-10,429.649,310.082,0,102.012,14.355,0.5773680376307172,0.5051970329268775,0.6495390423345568,0.2708420128989012
2024-11,381.371,290.23,0,72.916,15.016,0.6088139895272583,0.5327122408363509,0.6849157382181656,0.23056813444126587
2024-12,444.898,364.56,0,62.225,14.686,0.6555390224276126,0.5735966446241609,0.7374814002310641,0.17287333276391442
2025-01,445.071,359.03,0,69.985,12.785,0.6453442259774282,0.5646761977302497,0.7260122542246068,0.18597032832963728
2025-02,457.958,364.625,0,73.055,17.234,0.6369579743120548,0.5573382275230478,0.7165777211010617,0.19715563435948277
2025-03,379.9,277.919,0,82.06,16.217,0.5852466438536457,0.51209081337194,0.6584024743353514,0.2586917609897342
2025-04,360.397,248.309,0,90.994,17.583,0.5511899377630779,0.4822911955426932,0.6200886799834627,0.3012705433175082
2025-05,402.083,256.225,0,126.243,16.227,0.509795241281029,0.4460708361209004,0.5735196464411577,0.3543298274236911
2025-06,512.394,333.912,0,160.963,14.339,0.5213363154135294,0.45616927598683815,0.5865033548402206,0.3421234440684317
2025-07,655.944,455.668,0,177.805,19.196,0.5557401241569403,0.48627260863732275,0.6252076396765578,0.30033204054004614
2025-08,640.49,467.339,0,153.511,16.636,0.5837268341426096,0.5107609798747833,0.6566926884104357,0.2656512982247966
2025-09,544.849,388.665,0,138.06,15.319,0.5706755449675047,0.4993411018465666,0.6420099880884429,0.2815073534135145
2025-10,421.691,305.0,0,98.462,15.088,0.5786227356049809,0.5062948936543583,0.6509505775556036,0.2692729984751868
2025-11,383.572,290.446,0,76.293,13.126,0.60577101561115,0.5300496386597562,0.6814923925625437,0.23312181285391012
2025-12,437.163,348.396,0,61.859,23.467,0.6375580733044655,0.5578633141414072,0.7172528324675236,0.19518120243478976
2026-01,519.77,417.321,0,68.521,30.362,0.642316409180984,0.5620268580333609,0.7226059603286069,0.19024376166381285
2026-02,399.929,301.223,0,65.656,29.858,0.6025529531491841,0.527233834005536,0.6778720722928321,0.23882739186205557
2026-03,444.057,328.357,0,86.416,25.865,0.5915582909401271,0.5176135045726111,0.665503077307643,0.2528526743188374
2026-04,410.772,268.371,0,121.184,17.998,0.5226665887645702,0.4573332651689988,0.5879999123601414,0.3388303000204493
2026-05,415.432,262.373,0,130.56,19.257,0.5052533266575516,0.44209666082535765,0.5684099924897456,0.36062941708871726
2026-06,501.325,316.817,0,159.023,22.444,0.5055674462673915,0.44237151548396747,0.5687633770508154,0.3619747668678003
2026-07,668.448,467.997,0,175.661,21.658,0.5600998132988655,0.4900873366365072,0.6301122899612237,0.29518975298003736
